# source_id	kind	status	crystal_refs	notes
command.go::const::WaitTick	const	missing	-	auto-generated
command.go::func::Execute	func	missing	-	auto-generated
command.go::func::ExecuteAlt	func	missing	-	auto-generated
command.go::func::ExecuteCopy	func	missing	-	auto-generated
command.go::func::ExecuteCtrl	func	missing	-	auto-generated
command.go::func::ExecuteEnv	func	missing	-	auto-generated
command.go::func::ExecuteHide	func	missing	-	auto-generated
command.go::func::ExecuteKey	func	missing	-	auto-generated
command.go::func::ExecuteLoopOffset	func	missing	-	auto-generated
command.go::func::ExecuteNoop	func	missing	-	auto-generated
command.go::func::ExecuteOutput	func	missing	-	auto-generated
command.go::func::ExecutePaste	func	missing	-	auto-generated
command.go::func::ExecuteRequire	func	missing	-	auto-generated
command.go::func::ExecuteScreenshot	func	missing	-	auto-generated
command.go::func::ExecuteSet	func	missing	-	auto-generated
command.go::func::ExecuteSetBorderRadius	func	missing	-	auto-generated
command.go::func::ExecuteSetCursorBlink	func	missing	-	auto-generated
command.go::func::ExecuteSetFontFamily	func	missing	-	auto-generated
command.go::func::ExecuteSetFontSize	func	missing	-	auto-generated
command.go::func::ExecuteSetFramerate	func	missing	-	auto-generated
command.go::func::ExecuteSetHeight	func	missing	-	auto-generated
command.go::func::ExecuteSetLetterSpacing	func	missing	-	auto-generated
command.go::func::ExecuteSetLineHeight	func	missing	-	auto-generated
command.go::func::ExecuteSetMargin	func	missing	-	auto-generated
command.go::func::ExecuteSetMarginFill	func	missing	-	auto-generated
command.go::func::ExecuteSetPadding	func	missing	-	auto-generated
command.go::func::ExecuteSetPlaybackSpeed	func	missing	-	auto-generated
command.go::func::ExecuteSetShell	func	missing	-	auto-generated
command.go::func::ExecuteSetTheme	func	ported	src/vhs/evaluator.cr:834; spec/vhs/command_spec.cr:57; spec/vhs/evaluator_spec.cr:46	Theme resolution and Set Theme execution are covered for empty input, named themes, JSON themes, suggestion errors, invalid JSON, and unknown themes.
command.go::func::ExecuteSetTypingSpeed	func	missing	-	auto-generated
command.go::func::ExecuteSetWaitPattern	func	missing	-	auto-generated
command.go::func::ExecuteSetWaitTimeout	func	missing	-	auto-generated
command.go::func::ExecuteSetWidth	func	missing	-	auto-generated
command.go::func::ExecuteSetWindowBar	func	missing	-	auto-generated
command.go::func::ExecuteSetWindowBarSize	func	missing	-	auto-generated
command.go::func::ExecuteShift	func	partial	src/vhs/evaluator.cr:712; spec/vhs/evaluator_spec.cr:150	Terminal-backed Shift execution covered by evaluator flow, but parity with upstream browser key actions is not fully demonstrated.
command.go::func::ExecuteShow	func	missing	-	auto-generated
command.go::func::ExecuteSleep	func	missing	-	auto-generated
command.go::func::ExecuteType	func	missing	-	auto-generated
command.go::func::ExecuteWait	func	partial	src/vhs/evaluator.cr:546; spec/vhs/evaluator_spec.cr:119	Default Line-scope wait behavior is covered; timeout and full upstream error parity still need broader verification.
command.go::type::CommandFunc	type	missing	-	auto-generated
command_test.go::test::TestCommand	test	ported	spec/vhs/command_spec.cr:5; spec/vhs/evaluator_spec.cr:119; spec/vhs/evaluator_spec.cr:150	Crystal now matches the upstream command function count and key set, and also has direct evaluator coverage for Wait and Shift execution.
command_test.go::test::TestExecuteSetTheme	test	ported	spec/vhs/command_spec.cr:57; spec/vhs/evaluator_spec.cr:46	Crystal covers the same theme-resolution scenarios as upstream command_test, plus evaluator-level Set Theme command behavior.
draw.go::func::MakeBorderRadiusMask	func	missing	-	auto-generated
draw.go::func::MakeWindowBar	func	missing	-	auto-generated
draw.go::method::circle.At	method	missing	-	auto-generated
draw.go::method::circle.Bounds	method	missing	-	auto-generated
draw.go::method::circle.ColorModel	method	missing	-	auto-generated
draw.go::method::rect.At	method	missing	-	auto-generated
draw.go::method::rect.Bounds	method	missing	-	auto-generated
draw.go::method::rect.ColorModel	method	missing	-	auto-generated
draw.go::method::roundedrect.At	method	missing	-	auto-generated
draw.go::method::roundedrect.Bounds	method	missing	-	auto-generated
draw.go::method::roundedrect.ColorModel	method	missing	-	auto-generated
error.go::const::ErrorColumnOffset	const	missing	-	auto-generated
error.go::func::LineNumber	func	missing	-	auto-generated
error.go::func::Underline	func	missing	-	auto-generated
error.go::method::InvalidSyntaxError.Error	method	missing	-	auto-generated
error.go::struct::InvalidSyntaxError	struct	missing	-	auto-generated
evaluator.go::func::Evaluate	func	missing	-	auto-generated
evaluator.go::type::EvaluatorOption	type	missing	-	auto-generated
ffmpeg.go::func::NewScreenshotFilterComplexBuilder	func	missing	-	auto-generated
ffmpeg.go::func::NewStreamBuilder	func	missing	-	auto-generated
ffmpeg.go::func::NewVideoFilterBuilder	func	missing	-	auto-generated
ffmpeg.go::method::FilterComplexBuilder.Build	method	missing	-	auto-generated
ffmpeg.go::method::FilterComplexBuilder.WithBorderRadius	method	missing	-	auto-generated
ffmpeg.go::method::FilterComplexBuilder.WithGIF	method	missing	-	auto-generated
ffmpeg.go::method::FilterComplexBuilder.WithMarginFill	method	missing	-	auto-generated
ffmpeg.go::method::FilterComplexBuilder.WithWindowBar	method	missing	-	auto-generated
ffmpeg.go::method::StreamBuilder.Build	method	missing	-	auto-generated
ffmpeg.go::method::StreamBuilder.WithBar	method	missing	-	auto-generated
ffmpeg.go::method::StreamBuilder.WithCorner	method	missing	-	auto-generated
ffmpeg.go::method::StreamBuilder.WithMP4	method	missing	-	auto-generated
ffmpeg.go::method::StreamBuilder.WithMargin	method	missing	-	auto-generated
ffmpeg.go::method::StreamBuilder.WithWebm	method	missing	-	auto-generated
ffmpeg.go::struct::FilterComplexBuilder	struct	missing	-	auto-generated
ffmpeg.go::struct::StreamBuilder	struct	missing	-	auto-generated
lexer/lexer.go::func::New	func	missing	-	auto-generated
lexer/lexer.go::method::Lexer.NextToken	method	missing	-	auto-generated
lexer/lexer.go::struct::Lexer	struct	missing	-	auto-generated
lexer/lexer_test.go::test::TestLexTapeFile	test	missing	-	auto-generated
lexer/lexer_test.go::test::TestNextToken	test	missing	-	auto-generated
parser/parser.go::func::New	func	missing	-	auto-generated
parser/parser.go::func::NewError	func	missing	-	auto-generated
parser/parser.go::method::Command.String	method	missing	-	auto-generated
parser/parser.go::method::CommandType.String	method	missing	-	auto-generated
parser/parser.go::method::Error.Error	method	missing	-	auto-generated
parser/parser.go::method::Error.String	method	missing	-	auto-generated
parser/parser.go::method::Parser.Errors	method	missing	-	auto-generated
parser/parser.go::method::Parser.Parse	method	missing	-	auto-generated
parser/parser.go::struct::Command	struct	missing	-	auto-generated
parser/parser.go::struct::Error	struct	missing	-	auto-generated
parser/parser.go::struct::Parser	struct	missing	-	auto-generated
parser/parser.go::type::CommandType	type	missing	-	auto-generated
parser/parser_test.go::test::TestParseCtrl	test	missing	-	auto-generated
parser/parser_test.go::test::TestParseScreeenshot	test	missing	-	auto-generated
parser/parser_test.go::test::TestParseSource	test	missing	-	auto-generated
parser/parser_test.go::test::TestParseTapeFile	test	missing	-	auto-generated
parser/parser_test.go::test::TestParser	test	missing	-	auto-generated
parser/parser_test.go::test::TestParserErrors	test	missing	-	auto-generated
publish.go::func::Publish	func	missing	-	auto-generated
record.go::func::Record	func	missing	-	auto-generated
record_test.go::test::TestInputToTape	test	missing	-	auto-generated
record_test.go::test::TestInputToTapeLongSleep	test	missing	-	auto-generated
record_test.go::test::TestInputToTape_RepeatedSleepAfterExit	test	missing	-	auto-generated
screenshot.go::func::MakeScreenshots	func	missing	-	auto-generated
screenshot.go::func::NewScreenshotOptions	func	missing	-	auto-generated
screenshot.go::struct::ScreenshotOptions	struct	missing	-	auto-generated
screenshot_test.go::test::TestScreenshot	test	missing	-	auto-generated
shell.go::struct::Shell	struct	missing	-	auto-generated
style.go::const::Background	const	missing	-	auto-generated
style.go::const::Black	const	missing	-	auto-generated
style.go::const::Blue	const	missing	-	auto-generated
style.go::const::BrightBlack	const	missing	-	auto-generated
style.go::const::BrightBlue	const	missing	-	auto-generated
style.go::const::BrightCyan	const	missing	-	auto-generated
style.go::const::BrightGreen	const	missing	-	auto-generated
style.go::const::BrightMagenta	const	missing	-	auto-generated
style.go::const::BrightRed	const	missing	-	auto-generated
style.go::const::BrightWhite	const	missing	-	auto-generated
style.go::const::BrightYellow	const	missing	-	auto-generated
style.go::const::Cyan	const	missing	-	auto-generated
style.go::const::Foreground	const	missing	-	auto-generated
style.go::const::Green	const	missing	-	auto-generated
style.go::const::Indigo	const	missing	-	auto-generated
style.go::const::Magenta	const	missing	-	auto-generated
style.go::const::Red	const	missing	-	auto-generated
style.go::const::White	const	missing	-	auto-generated
style.go::const::Yellow	const	missing	-	auto-generated
style.go::func::DefaultStyleOptions	func	missing	-	auto-generated
style.go::struct::StyleOptions	struct	missing	-	auto-generated
syntax.go::func::Highlight	func	missing	-	auto-generated
testing.go::func::DefaultTestOptions	func	missing	-	auto-generated
testing.go::method::VHS.Buffer	method	missing	-	auto-generated
testing.go::method::VHS.CurrentLine	method	missing	-	auto-generated
testing.go::method::VHS.SaveOutput	method	missing	-	auto-generated
testing.go::struct::TestOptions	struct	missing	-	auto-generated
themes.go::method::Theme.String	method	missing	-	auto-generated
themes.go::method::ThemeNotFoundError.Error	method	missing	-	auto-generated
themes.go::struct::Theme	struct	missing	-	auto-generated
themes.go::struct::ThemeNotFoundError	struct	missing	-	auto-generated
themes_test.go::test::TestFindAllThemes	test	missing	-	auto-generated
themes_test.go::test::TestFindTheme	test	missing	-	auto-generated
token/token.go::const::ALT	const	missing	-	auto-generated
token/token.go::const::AT	const	missing	-	auto-generated
token/token.go::const::BACKSLASH	const	missing	-	auto-generated
token/token.go::const::BACKSPACE	const	missing	-	auto-generated
token/token.go::const::BOOLEAN	const	missing	-	auto-generated
token/token.go::const::BORDER_RADIUS	const	missing	-	auto-generated
token/token.go::const::CARET	const	missing	-	auto-generated
token/token.go::const::COMMENT	const	missing	-	auto-generated
token/token.go::const::COPY	const	missing	-	auto-generated
token/token.go::const::CTRL	const	missing	-	auto-generated
token/token.go::const::CURSOR_BLINK	const	missing	-	auto-generated
token/token.go::const::DASH	const	missing	-	auto-generated
token/token.go::const::DELETE	const	missing	-	auto-generated
token/token.go::const::DOT	const	missing	-	auto-generated
token/token.go::const::DOWN	const	missing	-	auto-generated
token/token.go::const::EM	const	missing	-	auto-generated
token/token.go::const::END	const	missing	-	auto-generated
token/token.go::const::ENTER	const	missing	-	auto-generated
token/token.go::const::ENV	const	missing	-	auto-generated
token/token.go::const::EOF	const	missing	-	auto-generated
token/token.go::const::EQUAL	const	missing	-	auto-generated
token/token.go::const::ESCAPE	const	missing	-	auto-generated
token/token.go::const::FONT_FAMILY	const	missing	-	auto-generated
token/token.go::const::FONT_SIZE	const	missing	-	auto-generated
token/token.go::const::FRAMERATE	const	missing	-	auto-generated
token/token.go::const::HEIGHT	const	missing	-	auto-generated
token/token.go::const::HIDE	const	missing	-	auto-generated
token/token.go::const::HOME	const	missing	-	auto-generated
token/token.go::const::ILLEGAL	const	missing	-	auto-generated
token/token.go::const::INSERT	const	missing	-	auto-generated
token/token.go::const::JSON	const	missing	-	auto-generated
token/token.go::const::LEFT	const	missing	-	auto-generated
token/token.go::const::LEFT_BRACKET	const	missing	-	auto-generated
token/token.go::const::LETTER_SPACING	const	missing	-	auto-generated
token/token.go::const::LINE_HEIGHT	const	missing	-	auto-generated
token/token.go::const::LOOP_OFFSET	const	missing	-	auto-generated
token/token.go::const::MARGIN	const	missing	-	auto-generated
token/token.go::const::MARGIN_FILL	const	missing	-	auto-generated
token/token.go::const::MILLISECONDS	const	missing	-	auto-generated
token/token.go::const::MINUS	const	missing	-	auto-generated
token/token.go::const::MINUTES	const	missing	-	auto-generated
token/token.go::const::NUMBER	const	missing	-	auto-generated
token/token.go::const::OUTPUT	const	missing	-	auto-generated
token/token.go::const::PADDING	const	missing	-	auto-generated
token/token.go::const::PAGE_DOWN	const	missing	-	auto-generated
token/token.go::const::PAGE_UP	const	missing	-	auto-generated
token/token.go::const::PASTE	const	missing	-	auto-generated
token/token.go::const::PERCENT	const	missing	-	auto-generated
token/token.go::const::PLAYBACK_SPEED	const	missing	-	auto-generated
token/token.go::const::PLUS	const	missing	-	auto-generated
token/token.go::const::PX	const	missing	-	auto-generated
token/token.go::const::REGEX	const	missing	-	auto-generated
token/token.go::const::REQUIRE	const	missing	-	auto-generated
token/token.go::const::RIGHT	const	missing	-	auto-generated
token/token.go::const::RIGHT_BRACKET	const	missing	-	auto-generated
token/token.go::const::SCREENSHOT	const	missing	-	auto-generated
token/token.go::const::SECONDS	const	missing	-	auto-generated
token/token.go::const::SET	const	missing	-	auto-generated
token/token.go::const::SHELL	const	missing	-	auto-generated
token/token.go::const::SHIFT	const	missing	-	auto-generated
token/token.go::const::SHOW	const	missing	-	auto-generated
token/token.go::const::SLASH	const	missing	-	auto-generated
token/token.go::const::SLEEP	const	missing	-	auto-generated
token/token.go::const::SOURCE	const	missing	-	auto-generated
token/token.go::const::SPACE	const	missing	-	auto-generated
token/token.go::const::STRING	const	missing	-	auto-generated
token/token.go::const::TAB	const	missing	-	auto-generated
token/token.go::const::THEME	const	missing	-	auto-generated
token/token.go::const::TYPE	const	missing	-	auto-generated
token/token.go::const::TYPING_SPEED	const	missing	-	auto-generated
token/token.go::const::UP	const	missing	-	auto-generated
token/token.go::const::WAIT	const	missing	-	auto-generated
token/token.go::const::WAIT_PATTERN	const	missing	-	auto-generated
token/token.go::const::WAIT_TIMEOUT	const	missing	-	auto-generated
token/token.go::const::WIDTH	const	missing	-	auto-generated
token/token.go::const::WINDOW_BAR	const	missing	-	auto-generated
token/token.go::const::WINDOW_BAR_SIZE	const	missing	-	auto-generated
token/token.go::func::IsCommand	func	missing	-	auto-generated
token/token.go::func::IsModifier	func	missing	-	auto-generated
token/token.go::func::IsSetting	func	missing	-	auto-generated
token/token.go::func::LookupIdentifier	func	missing	-	auto-generated
token/token.go::func::ToCamel	func	missing	-	auto-generated
token/token.go::method::Type.String	method	missing	-	auto-generated
token/token.go::struct::Token	struct	missing	-	auto-generated
token/token.go::type::Type	type	missing	-	auto-generated
token/token_test.go::test::TestToCamel	test	missing	-	auto-generated
vhs.go::func::DefaultVHSOptions	func	missing	-	auto-generated
vhs.go::func::New	func	missing	-	auto-generated
vhs.go::method::VHS.ApplyLoopOffset	method	missing	-	auto-generated
vhs.go::method::VHS.Cleanup	method	missing	-	auto-generated
vhs.go::method::VHS.PauseRecording	method	missing	-	auto-generated
vhs.go::method::VHS.Record	method	missing	-	auto-generated
vhs.go::method::VHS.Render	method	missing	-	auto-generated
vhs.go::method::VHS.ResumeRecording	method	missing	-	auto-generated
vhs.go::method::VHS.ScreenshotNextFrame	method	missing	-	auto-generated
vhs.go::method::VHS.Setup	method	missing	-	auto-generated
vhs.go::method::VHS.Start	method	missing	-	auto-generated
vhs.go::struct::Options	struct	missing	-	auto-generated
vhs.go::struct::VHS	struct	missing	-	auto-generated
video.go::func::DefaultVideoOptions	func	missing	-	auto-generated
video.go::func::MakeGIF	func	missing	-	auto-generated
video.go::func::MakeMP4	func	missing	-	auto-generated
video.go::func::MakeWebM	func	missing	-	auto-generated
video.go::struct::VideoOptions	struct	missing	-	auto-generated
video.go::struct::VideoOutputs	struct	missing	-	auto-generated
